,test_AUC,test_AUPR,test_precision,test_recall,test_F1,test_accuracy,test_TN,test_FP,test_FN,test_TP,test_loss,train_AUC,train_AUPR,train_precision,train_recall,train_F1,train_accuracy,train_TN,train_FP,train_FN,train_TP,train_loss
0,0.778703082,0.596612589,0.457214765,0.594329335,0.516832622,0.782171868,3114,647,372,545,1.165467501,0.837769166,0.706295693,0.530258267,0.674015748,0.593556646,0.818985177,28912,4929,2691,5564,0.989949048
0,0.780810169,0.620887648,0.481884058,0.580152672,0.526472044,0.795425395,3189,572,385,532,1.081568241,0.837325333,0.707006732,0.565747614,0.646274985,0.603336161,0.833357089,29746,4095,2920,5335,0.982635498
0,0.788891734,0.636131735,0.473639456,0.607415485,0.532250358,0.790722531,3142,619,360,557,1.015836716,0.828037936,0.697705083,0.526191878,0.649788007,0.581494932,0.816585899,29011,4830,2891,5364,0.95472312
0,0.78596292,0.625058722,0.411240576,0.654307525,0.505050505,0.748610517,2902,859,317,600,1.118213654,0.863019036,0.736803069,0.475207234,0.763900666,0.585923345,0.788269669,26877,6964,1949,6306,1.002506137
0,0.785298348,0.62797125,0.404517454,0.644492912,0.49705635,0.744335186,2891,870,326,591,1.088531017,0.852777888,0.724173286,0.496332921,0.729618413,0.590779794,0.801786393,27729,6112,2232,6023,0.953961432
0,0.788134377,0.61805353,0.497098646,0.560523446,0.526909277,0.802693459,3241,520,403,514,0.942293525,0.870769262,0.753284008,0.608355651,0.687946699,0.645707789,0.851957431,30185,3656,2576,5679,0.788876534
0,0.773568162,0.607785609,0.516339869,0.516902944,0.516621253,0.810389055,3317,444,443,474,0.902018726,0.840485564,0.707361874,0.622594662,0.6075106,0.614960147,0.85081718,30801,3040,3240,5015,0.792931497
0,0.772716716,0.610417812,0.365529208,0.689203926,0.477702192,0.704574605,2664,1097,285,632,1.181417942,0.864147359,0.742597514,0.434704711,0.793579649,0.561714898,0.757150323,25322,8519,1704,6551,1.062563539
0,0.776612812,0.60734442,0.405160391,0.633587786,0.494257763,0.745831552,2908,853,336,581,1.115387082,0.846603292,0.719918505,0.472061807,0.732768019,0.574208553,0.786891866,27076,6765,2206,6049,1.034616828
0,0.759220572,0.595189199,0.36,0.657579062,0.465277778,0.703719538,2689,1072,314,603,1.117206097,0.923048599,0.832268379,0.504916898,0.88322229,0.642520379,0.80727385,26692,7149,964,7291,0.788157225
mean,0.778991889,0.614545251,0.437262442,0.613849509,0.505843014,0.762847371,3005.7,755.3,354.1,562.9,1.07279405,0.856398343,0.732741414,0.523637164,0.716862508,0.599420264,0.811307488,28235.1,5605.9,2337.3,5917.7,0.935092086
std,0.009059727,0.013416898,0.055217889,0.052021627,0.022243925,0.039138577,227.716222,227.716222,47.70383167,47.70383167,0.091893918,0.027141741,0.03931696,0.060372815,0.081854057,0.027742519,0.029726925,1765.105628,1765.105628,675.7052365,675.7052365,0.105350403
